block_time,score,block_hash
10.08,66.0,00000000000000000002bb8d629e6df7b1314c69e878406bf272271cd895f9f9
5.24,13.0,000000000000000000044e0652c8754513ce074b145cbc6b9ce267d052db4b00
6.85,81.3,00000000000000000004b2fc9e1d3bdd750d37a07e402e1c8a847512c5b09336
8.76,96.6,0000000000000000000099077bf0a2e9bf41937a0486507a8237f9548c35f711
11.93,84.7,00000000000000000003da0edc92b60e985634d0b2b6bd6a6a06381db1c8bdb3
1.78,56.0,000000000000000000007432e3a028fa6549509d826c09b3359767fa2cf1bb0e
3.73,91.399994,00000000000000000000fe0f3c7e08e4ed11ba97a2d8696a38f68dc0f411fca6
16.99,90.7,0000000000000000000233b9a27e31c6c10818866343a3ce3eefb44dcab3e34f
3.33,99.5,000000000000000000038610c8c30c59f034d80e2dc74c228fa719d02d346869
12.41,81.4,000000000000000000025133f88e08b2f9fce369b6e8cf21bcb387c1524cc612
15.88,79.299995,00000000000000000002521704a49fe0dfd982609b61d705a0e261f7f55f94f2
5.91,42.699997,0000000000000000000461ec491c5c918183844e7645fec3b9ee0b8afac9d624
7.88,76.1,000000000000000000032b0f15d826f9976dc19cf9fd5abc4785dd658a064dee
21.13,85.399994,000000000000000000028ca4d019aa3240d333defe9bb469bc5dfb53c2f95088
8.58,77.9,00000000000000000004335c37a093e1b8a2c819c207511ca4114f4d18fe3a39
8.39,77.9,0000000000000000000401bb7254e620b1ad8e9fcaac10bb2054963ccfc753f2
6.84,90.100006,00000000000000000001344563057a294e4e4676bec859bcab7b98490f0cc74e
17.9,89.9,00000000000000000001f5d4ac203b349fbeff11a69227edf9e605b5b46e0b8d
14.97,85.399994,00000000000000000002738545163d95b3ff056a2374bac93eff381aace34a45
24.31,95.8,00000000000000000004b691a1777a4277276ab963c55a14708be3e329537f9b
23.69,98.1,00000000000000000003a82838ee8f2c5b337147fa6215e14fb76df8b87d32b5
5.32,96.4,00000000000000000002c8eb8384abdf339788995801f37163548c0b5f8fc99a
10.89,88.4,00000000000000000000c5d8c99e84c7b9f90553a1f0cea566866e8ce258cea2
10.37,79.799995,00000000000000000003b7e9e64ffdaea4736bb6b25e1bb2e323fefbe2d7e0d2
3.83,29.300001,0000000000000000000471bb96ccd97acd3f71414ae67d48ab1599d6a29c8d7f
