block_time,score,block_hash
7.88,91.399994,000000000000000000045e9e395e70b2f8bd8c1429efdf5eae891a3124056c64
9.49,98.0,000000000000000000008be18c0f21ba6d391c1ea13c83f66768a68ad8d1a271
23.21,82.200005,00000000000000000003d69d298d364e5f2a5e898c6fd508ae6846e93deb4a2b
18.06,89.8,00000000000000000001f32e3658701f75801f332f5c42b7ae798c80eb3ff866
12.79,78.799995,00000000000000000001fa791ef03775a5a0adb9b18d25e023e4b7c463bbd567
5.03,50.6,00000000000000000003df84918d14a042ad33b33509468f94538cb11a064226
16.62,83.9,00000000000000000002b7673a7e871f256a039517247a33994d44db9247f294
18.99,84.1,0000000000000000000318812090d7d36d28c9652da57429ff74501a9f2fff54
24.3,89.5,00000000000000000001c17505bcbeda915fd67815d4ef13066042698bbb1246
26.39,82.5,0000000000000000000445710f970c2b65712dfa9a935c80c948750a98285989
12.91,87.2,000000000000000000019a81a9bdac254c01a254e9b542b7e9ccc5698d905817
18.36,100.0,00000000000000000004166309a59a41759e36ff0081538f7a71d8b55871f754
16.49,91.0,000000000000000000030c29b54f36d053aca699bc7321affb94c85b8f72f9d4
31.83,88.6,00000000000000000001f25b7b049e12cb340d75bb3e0b7100bf65020958922e
16.66,94.700005,000000000000000000023e6fbc5ddd7b648ff47d1948092597207cdca016ab93
16.92,84.3,0000000000000000000489333262e861e8e4f5aa85f7abeecf85dcc4f02cbe96
7.32,47.9,00000000000000000000c8b323f1218543d3a03c446a9eceb1c16eed7c73d2a9
19.52,94.3,00000000000000000001b442eb30068356af81ea0091867b1cdbe53207b79902
15.03,85.9,00000000000000000002bb3aba1573638ec9261f0c4eead7f89a19a61df25f8b
9.48,86.1,00000000000000000000458ea38efa27046ae7e3ea921b28b7500a1e66668248
5.52,65.0,0000000000000000000344e013fbae270cfd8aeaba6145f365b73b9a44fbe7a8
6.78,43.5,000000000000000000030e474e2cb56abb782a05e623c4e9915a67a5270ba249
6.69,73.299995,000000000000000000026aa11f5328556d1a7f51859464fd6565b55a14d6044c
34.61,99.2,00000000000000000000c23bc85be10115a0ab3981db37e324c0e7eb6c22ab02
7.48,80.8,00000000000000000000e6ad62551043571e1763ecf6e318b2233bedee9d50fc
5.83,59.399998,00000000000000000002255f074221002b497eebbfe9c37bba0f90598c7ef730
4.17,47.600002,000000000000000000028fc0370592cc0fc7bdc4d1d4c9f12816dfd669812d24
4.27,78.4,00000000000000000001af430905e0c985460a150070496fc7dcc5b5a0038ba2
19.1,96.5,00000000000000000002733be10ede890f83e4bad0599dab001bd2ecc08a51d5
8.9,53.899998,000000000000000000023492fda98e8ec8dca12ec22095e664392a57accdffff
23.65,90.200005,0000000000000000000283f45deeb9e321674a272215ddebb3e2c72a083c875c
3.21,85.399994,00000000000000000000718ac380d2223dcd3118b8fd66497be9dca13a17ee4a
16.64,84.7,00000000000000000003e362ad8a0656a79867236a3b969f843b868a6be39295
5.83,43.9,000000000000000000015b469b8b4f730b341d4976a83b60cc0453fefed90c8c
10.81,94.2,0000000000000000000191c67fc689b192982fa9f46e1cb2cdd7622e4f458a74
11.45,85.2,00000000000000000000982fce5715e68a32e0644ba5d5d6cd3fa4d8734da12b
8.48,95.4,00000000000000000002737fe784207a8a119da4eafbe4d804f62ccdba512cca
30.02,99.7,000000000000000000045a9201769c223fdbea447f6df9996abdcccef4e164c9
5.39,95.6,000000000000000000003549b3b7fcdff3a6328021eeabdae70c57e0fd3776c5
27.33,87.5,000000000000000000011efb33fd0f3e404f4692ecea61d4ca2ccbb9aecdf12f
22.03,97.2,0000000000000000000062e6625707a48e6c0daee70b0352a7181c7425e9e969
11.81,87.7,000000000000000000030658d76f6ee9005cf1a94a3175b54b928cacfff36b2d
14.41,90.100006,00000000000000000000a610ceb090ff4d69a7123461d6655e07d477785875d4
8.4,89.5,000000000000000000021a5bdbd89b086bf6932db2751cf7a01ca873317b3231
7.0,55.5,000000000000000000021b80e76636af5caa5d2f570b8bbefdaceebb181a8ac9
6.19,41.3,0000000000000000000177bf7a09f23d7e8144dc7ce5d5a36d3a9a913900b481
